Month,Department,Revenue,Expenses,Profit,Investment,ROI
2023-07-31,Sales,198501,31893,166608,24373,683.58
2023-07-31,Marketing,97333,28436,68897,18754,367.37
2023-07-31,Operations,126213,30895,95318,29738,320.53
2023-07-31,Finance,80746,74377,6369,42352,15.04
2023-07-31,IT,157455,30600,126855,39124,324.24
2023-08-31,Sales,143179,65764,77415,19007,407.3
2023-08-31,Marketing,95714,81835,13879,47410,29.27
2023-08-31,Operations,159616,98744,60872,28589,212.92
2023-08-31,Finance,93484,107989,-14505,46212,-31.39
2023-08-31,IT,93525,72202,21323,42635,50.01
2023-09-30,Sales,113208,58828,54380,28711,189.4
2023-09-30,Marketing,53420,25301,28119,10699,262.82
2023-09-30,Operations,174019,90726,83293,20492,406.47
2023-09-30,Finance,165668,31102,134566,29778,451.9
2023-09-30,IT,76641,59584,17057,42745,39.9
2023-10-31,Sales,153746,76885,76861,46631,164.83
2023-10-31,Marketing,122991,29014,93977,21093,445.54
2023-10-31,Operations,68070,60777,7293,26538,27.48
2023-10-31,Finance,60729,70017,-9288,10784,-86.13
2023-10-31,IT,155864,103069,52795,49974,105.64
2023-11-30,Sales,104748,30801,73947,29190,253.33
2023-11-30,Marketing,79592,35647,43945,18716,234.8
2023-11-30,Operations,160627,95316,65311,12368,528.06
2023-11-30,Finance,127575,31655,95920,14495,661.75
2023-11-30,IT,137922,80766,57156,23403,244.23
2023-12-31,Sales,82097,103657,-21560,20966,-102.83
2023-12-31,Marketing,174862,118848,56014,32677,171.42
2023-12-31,Operations,105609,81661,23948,41024,58.38
2023-12-31,Finance,120313,78006,42307,39749,106.44
2023-12-31,IT,196410,93027,103383,37236,277.64
2024-01-31,Sales,163632,105135,58497,29508,198.24
2024-01-31,Marketing,53051,73747,-20696,31606,-65.48
2024-01-31,Operations,137235,79021,58214,10876,535.25
2024-01-31,Finance,123523,119476,4047,47233,8.57
2024-01-31,IT,67019,108613,-41594,36258,-114.72
2024-02-29,Sales,136672,98847,37825,27214,138.99
2024-02-29,Marketing,78251,50945,27306,35316,77.32
2024-02-29,Operations,82217,33308,48909,15949,306.66
2024-02-29,Finance,182222,114480,67742,44699,151.55
2024-02-29,IT,124740,91617,33123,39305,84.27
2024-03-31,Sales,66896,71175,-4279,17805,-24.03
2024-03-31,Marketing,55237,45056,10181,13343,76.3
2024-03-31,Operations,194572,78222,116350,39375,295.49
2024-03-31,Finance,190734,41964,148770,18130,820.57
2024-03-31,IT,117215,94042,23173,23284,99.52
2024-04-30,Sales,143468,86389,57079,19435,293.69
2024-04-30,Marketing,128832,76293,52539,40445,129.9
2024-04-30,Operations,128781,85403,43378,39124,110.87
2024-04-30,Finance,93919,60247,33672,39222,85.85
2024-04-30,IT,106573,84101,22472,47220,47.59
2024-05-31,Sales,76646,48049,28597,24069,118.81
2024-05-31,Marketing,148116,93385,54731,33289,164.41
2024-05-31,Operations,160226,34823,125403,19540,641.78
2024-05-31,Finance,66364,29611,36753,37663,97.58
2024-05-31,IT,101991,82679,19312,48646,39.7
2024-06-30,Sales,144704,74115,70589,35471,199.0
2024-06-30,Marketing,199143,84275,114868,16833,682.4
2024-06-30,Operations,61938,60195,1743,36144,4.82
2024-06-30,Finance,54000,95588,-41588,45506,-91.39
2024-06-30,IT,143610,63304,80306,13913,577.2
2024-07-31,Sales,132986,114643,18343,30764,59.62
2024-07-31,Marketing,158940,111027,47913,48494,98.8
2024-07-31,Operations,53373,37161,16212,41996,38.6
2024-07-31,Finance,142658,52350,90308,37472,241.0
2024-07-31,IT,144297,50351,93946,33132,283.55
2024-08-31,Sales,164585,40305,124280,19817,627.14
2024-08-31,Marketing,115953,82458,33495,30358,110.33
2024-08-31,Operations,53267,107745,-54478,34052,-159.98
2024-08-31,Finance,88513,51092,37421,21338,175.37
2024-08-31,IT,181484,32543,148941,43496,342.42
2024-09-30,Sales,110692,114084,-3392,37384,-9.07
2024-09-30,Marketing,94425,63756,30669,28888,106.17
2024-09-30,Operations,97295,108042,-10747,30463,-35.28
2024-09-30,Finance,67955,62841,5114,15104,33.86
2024-09-30,IT,188429,57479,130950,46208,283.39
2024-10-31,Sales,121180,68286,52894,12914,409.59
2024-10-31,Marketing,161888,39397,122491,10728,1141.79
2024-10-31,Operations,169180,91234,77946,49954,156.04
2024-10-31,Finance,129459,41779,87680,17400,503.91
2024-10-31,IT,109163,107637,1526,42307,3.61
2024-11-30,Sales,104098,85921,18177,15486,117.38
2024-11-30,Marketing,189407,111900,77507,47259,164.0
2024-11-30,Operations,192202,112508,79694,11167,713.66
2024-11-30,Finance,77192,26062,51130,28540,179.15
2024-11-30,IT,139780,46545,93235,31689,294.22
2024-12-31,Sales,61174,113461,-52287,47497,-110.08
2024-12-31,Marketing,59348,48714,10634,48102,22.11
2024-12-31,Operations,124460,114930,9530,16801,56.72
2024-12-31,Finance,153150,97267,55883,33625,166.19
2024-12-31,IT,51542,46677,4865,49081,9.91
